Date,New Cases,Active Cases,Total Cases,New Recoveries,Total Recovered,New Deaths,Total Deaths,Daily Recovery Rate (%),Daily Death Rate (%),Weekly Average Daily Recovery Rate (%),Weekly Average Daily Death Rate(%),Recovery Rate so Far(%),Death Rate so Far (%),No Outcome (%),Daily Infection Rate
2020-03-12,328,328,328,0,0,0,0,0.0,0.0,,,0.0,0.0,100.0,0.04468731820231638
2020-03-13,93,421,421,0,0,0,0,0.0,0.0,,,0.0,0.0,100.0,28.353658536585368
2020-03-14,107,524,528,1,1,3,3,0.2375296912114014,0.7125890736342043,,,0.1893939393939394,0.5681818181818182,99.24242424242425,25.41567695961995
2020-03-15,212,729,740,0,1,7,10,0.0,1.3358778625954197,,,0.13513513513513514,1.3513513513513513,98.51351351351352,40.458015267175576
2020-03-16,235,956,975,0,1,8,18,0.0,1.0973936899862826,,,0.10256410256410256,1.8461538461538463,98.05128205128206,32.23593964334705
2020-03-17,742,1692,1717,0,1,6,24,0.0,0.6276150627615062,,,0.05824111822947001,1.3977868375072802,98.54397204426326,77.61506276150628
2020-03-18,1343,3018,3060,0,1,17,41,0.0,1.0047281323877069,0.0339328130302002,0.6826005459093027,0.032679738562091505,1.3398692810457515,98.62745098039215,79.37352245862884
2020-03-19,2342,5334,5402,0,1,26,67,0.0,0.8614976805831677,0.0339328130302002,0.8056716431354696,0.018511662347278787,1.2402813772676786,98.74120696038504,77.60106030483765
2020-03-20,3053,8355,8455,-1,0,33,100,-0.018747656542932135,0.6186726659167604,0.031254576381209896,0.8940534525521496,0.0,1.1827321111768185,98.81726788882318,57.23659542557181
2020-03-21,1994,10320,10449,0,0,29,129,0.0,0.34709754637941354,-0.002678236648990305,0.8418403772300367,0.0,1.2345679012345678,98.76543209876543,23.865948533812087
2020-03-22,5442,15682,15891,0,0,80,209,0.0,0.7751937984496124,-0.002678236648990305,0.7617426537806357,0.0,1.3152098672204393,98.68479013277955,52.73255813953488
2020-03-23,5125,20618,21016,108,108,81,290,0.6886876673893636,0.5165157505420227,0.0957057158352045,0.6787600910028843,0.5138941758660068,1.3799010277883517,98.10620479634564,32.68078051268971
2020-03-24,5518,25979,26534,0,108,157,447,0.0,0.761470559705112,0.0957057158352045,0.6978823048519708,0.40702494912188136,1.6846310394211201,97.908344011457,26.763022601610242
2020-03-25,6677,32505,33211,0,108,151,598,0.0,0.5812386927903307,0.0957057158352045,0.6373838134809171,0.3251934599981934,1.8006082322122188,97.87419830778958,25.701528157357867
2020-03-26,6100,37010,39311,1409,1517,186,784,4.334717735732964,0.5722196585140747,0.7149511066541994,0.596058381756761,3.8589707715397727,1.9943527257001856,94.14667650276004,18.766343639440088
2020-03-27,7383,43630,46694,528,2045,235,1019,1.4266414482572278,0.6349635233720616,0.9214352644827936,0.5983856471075183,4.379577675932668,2.182293228252024,93.43812909581531,19.94866252364226
2020-03-28,7253,49806,53947,681,2726,396,1415,1.5608526243410497,0.9076323630529453,1.1444142108172293,0.6784620494894514,5.053107679759764,2.622944742061653,92.32394757817858,16.62388264955306
2020-03-29,7416,56069,61363,846,3572,307,1722,1.698590531261294,0.6163915994056941,1.387070000997414,0.6557760210546059,5.821097403973078,2.8062513240878055,91.37265127193912,14.889772316588363
2020-03-30,6788,61702,68151,737,4309,418,2140,1.314451836130482,0.7455099966113182,1.4764648822461452,0.6884894847787909,6.322724538157914,3.140085985532127,90.53718947630996,12.10651161961155
2020-03-31,8827,69326,76978,666,4975,537,2677,1.0793815435480212,0.8703121454734044,1.6306622456101483,0.7040382827456898,6.462885499753177,3.4776169814752267,90.0594975187716,14.305857184532107
2020-04-01,8107,75575,85085,1167,6142,691,3368,1.6833511236765426,0.9967400398119032,1.87114097756394,0.7633956180344859,7.218663689251924,3.9583945466298407,88.82294176411824,11.69402532960217
2020-04-02,9357,83120,94442,1292,7434,520,3888,1.7095600396956665,0.6880582203109494,1.496118449558612,0.7799439840054679,7.871497850532602,4.1168124351453805,88.01168971432202,12.38107839894145
2020-04-03,10633,91699,105075,1452,8886,602,4490,1.7468719923002887,0.7242540904716073,1.5418656701361921,0.7926997793054031,8.456816559600286,4.273138234594337,87.27004520580537,12.792348411934553
2020-04-04,11511,100781,116586,1592,10478,837,5327,1.736114897654282,0.912768950588338,1.5669031377523681,0.7934335775247449,8.987356972535295,4.569159247250957,86.44348378021375,12.553026750564346
2020-04-05,8481,106725,125067,1709,12187,828,6155,1.6957561445113662,0.8215834333852611,1.5664982253595212,0.822746696664683,9.74437701392054,4.92136214988766,85.3342608361918,8.415276689058453
2020-04-06,9139,113849,134206,1179,13366,836,6991,1.1047083626141954,0.7833216209885219,1.5365348720000518,0.8281483572899979,9.959316274980255,5.209156073498949,84.8315276515208,8.563129538533614
2020-04-07,10719,122377,144925,1214,14580,977,7968,1.0663246932340205,0.8581542218201301,1.5346696076694804,0.8264115110538158,10.06037605658099,5.4980162152837675,84.44160772813524,9.415102460276332
2020-04-08,9004,128954,153929,1435,16015,992,8960,1.1726059635389003,0.8106098368157415,1.4617060133641029,0.7998214820543641,10.404147366643063,5.820865463947664,83.77498716940927,7.357591704323525
2020-04-09,10538,138274,164467,219,16234,999,9959,0.16982800068241388,0.7746948524279976,1.2417442935050664,0.812198143785371,9.870673144156578,6.055318088127102,84.07400876771632,8.171906261147386
2020-04-10,11050,148356,175517,0,16234,968,10927,0.0,0.7000593025442238,0.9921911517478825,0.8087417455100306,9.249246511733906,6.225607775884957,84.52514571238113,7.991379435034786
2020-04-11,8973,155920,184490,443,16677,966,11893,0.2986060557038475,0.6511364555528594,0.7868327457549633,0.7713656747906764,9.039514336820424,6.4464198601550216,84.51406580302455,6.048289250181995
2020-04-12,8462,163025,192952,412,17089,945,12838,0.2642380708055413,0.6060800410466907,0.5823301637969884,0.7405794758851665,8.856606824495211,6.653468220075459,84.48992495542933,5.427142124166239
2020-04-13,6422,168597,199374,0,17089,850,13688,0.0,0.5213924244747739,0.42451468342353194,0.7031610192403454,8.571328257445805,6.865488980508993,84.5631827620452,3.939273117619997
2020-04-14,7617,175290,206991,0,17089,924,14612,0.0,0.548052456449403,0.2721825843901004,0.6588607670445272,8.255914508360267,7.059244121725099,84.68484136991464,4.517873983522838
2020-04-15,11666,179270,218657,6798,23887,888,15500,3.8781447886359746,0.506589080951566,0.6586881308325395,0.6154292304925021,10.924415865945294,7.088728007793027,81.98685612626169,6.655257002681271
2020-04-16,7639,186303,226296,0,23887,606,16106,0.0,0.3380375969208457,0.634426987877909,0.5530496225629088,10.555643935376676,7.117226994732563,82.32712906989076,4.261170301779439
2020-04-17,7756,193034,234052,0,23887,1025,17131,0.0,0.550179009463079,0.634426987877909,0.5316381521227453,10.205851691077196,7.3193136567942165,82.47483465212859,4.163110631605503
2020-04-18,7093,199587,241145,0,23887,540,17671,0.0,0.27974346488183427,0.5917689799202165,0.4785820105983131,9.905658421281801,7.327956208919945,82.76638536979826,3.6744822155682417
2020-04-19,6177,205137,247322,0,23887,627,18298,0.0,0.31414871710081316,0.5540206840908535,0.43687753574890215,9.658259273335975,7.398452220182596,82.94328850648142,3.0948909498113606
2020-04-20,4881,209387,252203,0,23887,631,18929,0.0,0.30759931167951177,0.5540206840908535,0.4063356624924362,9.471338564569018,7.505461870001547,83.02319956542944,2.37938548384738
2020-04-21,4463,207380,256666,5706,29593,764,19693,2.725097546648073,0.3648746101715961,0.9433203336120067,0.3801673987384637,11.529770207195343,7.672617331473588,80.79761246133107,2.1314599282667976
2020-04-22,5715,212434,262381,0,29593,661,20354,0.0,0.31873854759378917,0.38929964952115326,0.35333160825878135,11.278636791535973,7.757421459633129,80.9639417488309,2.7558105892564373
2020-04-23,6316,218243,268697,0,29593,507,20861,0.0,0.23866236101565663,0.38929964952115326,0.33913514598661143,11.013520805963594,7.763763644551298,81.2227155494851,2.9731587222384364
2020-04-24,8868,225056,277565,1625,31218,430,21291,0.7445828732193014,0.19702808337495362,0.49566863140962486,0.28868501368830785,11.247095274980635,7.670635706951525,81.08226901806783,4.063360565974625
2020-04-25,10873,235312,288438,0,31218,617,21908,0.0,0.27415398834067967,0.49566863140962486,0.28788651703957147,10.823123166850415,7.595393117411714,81.58148371573787,4.831242001990615
2020-04-26,5680,240625,294118,0,31218,367,22275,0.0,0.15596314680084314,0.49566863140962486,0.26528857842529,10.614107263071284,7.5734909118109055,81.8124018251178,2.4138165499422044
2020-04-27,4015,229953,298133,14339,45557,348,22623,5.959064935064935,0.14462337662337663,1.346963622133187,0.24200630198869927,15.280763954342525,7.588224047656583,77.13101199800089,1.6685714285714286
2020-04-28,3447,231473,301580,1406,46963,521,23144,0.6114292920727279,0.22656803781642335,1.0450110143367093,0.2222482202236746,15.572319119304995,7.674248955501028,76.75343192519398,1.4990019699677761
2020-04-29,4710,234643,306290,1210,48173,330,23474,0.5227391531625719,0.14256522358979232,1.1196880362170767,0.1970806025088179,15.72790492670345,7.663978582389239,76.6081164909073,2.0347945548724904
